(-3.20781e-08,-7.68703e-08,2.82941e-08)
(5.73689e-08,-1.72806e-08,-5.46577e-09)
(-3.11545e-08,-3.86403e-08,-2.09692e-08)
(1.12366e-08,1.06673e-08,-7.10804e-08)
(8.48604e-08,1.25405e-08,-6.03426e-08)
(1.59152e-08,-5.54292e-08,-1.51573e-08)
(3.59981e-08,7.1177e-08,-6.33186e-08)
(4.45988e-09,1.61713e-08,3.78834e-08)
(-6.00318e-08,4.73551e-08,-1.58264e-08)
(-8.54622e-08,1.78213e-08,-5.11386e-08)
(-5.32514e-09,-3.40331e-08,-5.98762e-09)
(-8.31632e-08,1.88879e-08,3.99911e-08)
(-1.06543e-08,-6.11472e-08,-1.41364e-07)
(-1.679e-08,-7.12815e-08,1.55159e-08)
(6.3923e-08,1.23914e-08,4.53561e-08)
(8.72688e-08,-1.294e-08,1.73805e-08)
(1.16096e-08,-1.89596e-08,7.47899e-09)
(3.83894e-08,-1.89703e-08,-6.15272e-08)
(1.10819e-07,7.05995e-08,4.95809e-08)
(-3.30861e-08,1.89572e-09,3.61881e-08)
(-1.53269e-08,1.04906e-07,6.27559e-09)
(5.1383e-08,-2.88868e-08,3.22501e-09)
(2.87136e-08,-5.30272e-08,-2.47385e-08)
(6.53809e-08,-3.92593e-09,-1.71435e-08)
(1.37375e-08,-1.6826e-08,1.21179e-07)
(5.91046e-08,-8.45342e-08,6.19634e-09)
(-1.70863e-09,-4.27183e-08,-7.35141e-08)
(1.4994e-08,2.39985e-09,-2.19145e-08)
(-7.22121e-08,8.01692e-09,-1.34135e-08)
(-1.9427e-08,6.62224e-09,-7.17571e-08)
(2.66834e-08,-5.457e-08,-9.40743e-09)
(6.28955e-08,-2.68057e-08,-1.62256e-08)
(2.38465e-09,4.08541e-08,3.41913e-08)
(-3.79887e-08,2.53084e-08,4.12188e-08)
(1.59104e-08,9.55752e-08,-2.83353e-08)
(4.24328e-08,-3.0064e-08,2.9635e-08)
(-8.49871e-08,-7.96374e-08,4.65547e-08)
(3.85303e-09,-9.8189e-09,-1.9479e-08)
(2.09328e-09,2.06585e-09,-3.61121e-08)
(2.62803e-08,-1.79454e-08,5.91207e-08)
(-1.63696e-08,-6.8902e-08,-5.9456e-08)
(1.08348e-08,1.02517e-07,-1.02515e-08)
(-2.10453e-08,-6.69405e-08,-1.0618e-09)
(1.12732e-08,-1.53325e-07,-4.35363e-08)
(-5.97726e-08,-1.03956e-08,-7.35931e-09)
(1.4323e-08,2.50287e-08,-3.40157e-08)
(-6.93354e-08,-4.9187e-08,-3.42225e-08)
(3.8728e-09,-1.95523e-08,-3.55487e-08)
(6.85729e-09,-3.24544e-08,-1.697e-09)
(-8.83876e-09,-4.61134e-08,1.61551e-08)
(1.71932e-07,5.79572e-08,8.07368e-08)
(-4.87454e-08,8.97167e-08,-1.67086e-08)
(1.63622e-08,5.93292e-09,7.46766e-08)
(9.31244e-08,4.50759e-08,9.385e-08)
(4.17433e-08,-1.82627e-08,1.11581e-08)
(-2.81306e-08,-4.28012e-08,9.50712e-08)
(5.56918e-08,5.15683e-09,3.67064e-08)
(-4.89214e-09,2.72327e-08,-5.9371e-08)
(-3.19265e-08,2.58118e-09,-8.59095e-09)
(9.29951e-08,3.71794e-08,3.3803e-08)
(8.92633e-08,3.45272e-09,-3.89626e-08)
(9.12856e-08,4.33393e-08,-4.60099e-08)
(3.47313e-08,7.70588e-08,-2.53009e-08)
(-5.5078e-08,2.30941e-08,3.33134e-08)
(2.45034e-08,3.1937e-09,-9.26776e-09)
(-2.02156e-08,-2.07154e-09,-5.19293e-09)
(-1.33303e-08,1.3148e-07,-3.78173e-08)
(6.0092e-08,6.35674e-08,-1.32091e-07)
(-4.29841e-08,-1.25097e-08,-7.6702e-08)
(-2.58139e-08,1.1083e-07,3.05671e-08)
(1.0489e-07,-5.81057e-08,-6.15261e-08)
(-9.13731e-09,6.49183e-08,9.32439e-08)
(-8.58299e-08,2.49512e-08,1.4619e-08)
(7.57413e-08,-3.95128e-08,4.82852e-08)
(-4.07719e-08,-2.96184e-08,1.81864e-08)
(1.39887e-08,-6.55034e-08,6.1075e-08)
(-3.03004e-08,4.58605e-09,2.17995e-08)
(-9.11629e-08,-2.74849e-08,1.33655e-07)
(-6.93602e-08,2.5415e-08,1.96668e-08)
(-5.6688e-09,-5.75734e-08,3.49765e-08)
(9.17594e-08,-3.73989e-08,-5.95367e-08)
(6.27113e-08,5.58166e-08,1.19825e-08)
(-1.07618e-07,-5.25265e-08,3.47258e-08)
(6.98386e-09,-6.82694e-09,-3.34027e-09)
(6.70797e-08,1.75933e-08,3.48754e-08)
(1.96693e-08,5.64021e-08,2.23572e-08)
(4.7316e-08,5.34929e-08,-1.5483e-08)
(-4.4164e-08,-9.68779e-08,5.59886e-09)
(-3.63728e-08,-2.3472e-08,5.87995e-08)
(2.92905e-08,-4.18875e-08,-1.05595e-08)
(3.67403e-08,4.27907e-08,2.00764e-08)
(-3.9977e-08,1.68657e-08,3.47061e-08)
(-5.4852e-08,7.93578e-09,1.33382e-08)
(8.63446e-09,3.64342e-08,2.1919e-09)
(-1.4689e-08,-3.36036e-08,-3.73192e-08)
(4.56755e-08,-1.06116e-08,3.33543e-08)
(2.55335e-08,7.13963e-08,3.88677e-08)
(4.50902e-08,1.70069e-08,-4.32149e-08)
(4.41378e-08,6.62598e-08,-1.36721e-08)
(6.42261e-08,2.19697e-08,-1.87421e-08)
