(-0.61987,-0.194884,0.760119)
(0.791855,-0.0335462,-0.609787)
(-0.721064,-0.619312,0.310675)
(-0.172648,-0.783603,0.596791)
(0.0159634,-0.950183,-0.311283)
(-0.1151,0.782317,0.612154)
(-0.0873861,0.719961,0.688491)
(0.703562,-0.0318557,0.709919)
(0.0918698,-0.434632,0.89591)
(0.16755,-0.0750453,0.983003)
(0.923265,0.310956,0.225586)
(-0.541719,-0.100139,0.834573)
(0.0906641,-0.0582669,0.994176)
(0.0466829,0.162258,0.985643)
(0.400721,0.333351,0.853405)
(0.194091,-0.199733,0.960435)
(0.402846,-0.0946343,0.910362)
(0.555072,-0.227622,0.800052)
(0.100077,0.291241,0.951401)
(0.38751,-0.535438,0.750428)
(-0.510865,0.354608,0.783115)
(-0.717392,0.117639,0.686666)
(-0.286995,-0.245823,0.925853)
(-0.0742739,0.617777,0.782838)
(-0.423104,-0.116241,0.898594)
(-0.563986,-0.130151,0.815463)
(-0.0688392,-0.912101,0.404145)
(0.216751,0.968756,0.120547)
(-0.427217,-0.700912,0.571146)
(0.877524,-0.0947254,0.470083)
(0.141715,-0.356686,0.923413)
(-0.729633,-0.440411,0.523139)
(0.0586217,0.807649,0.586742)
(-0.0519456,-0.0325475,0.998119)
(0.437162,-0.0177143,0.899208)
(0.214713,-0.166457,0.962388)
(0.269561,0.182697,0.945494)
(-0.265674,-0.0866998,0.960156)
(-0.582852,0.186964,0.790777)
(-0.229522,0.310274,0.922523)
(-0.226798,0.324117,0.918429)
(0.322764,0.0069139,0.946454)
(-0.260276,-0.668748,0.696443)
(-0.295324,-0.402184,0.866621)
(0.748628,0.0628947,0.66)
(-0.458824,-0.536454,0.708306)
(0.449035,-0.315915,0.835802)
(-0.262597,0.200845,0.943771)
(0.624879,0.18714,0.757961)
(0.0713219,0.211586,0.974754)
(0.244028,-0.249908,0.937015)
(-0.422722,0.0757308,0.90309)
(0.0809181,-0.979052,0.186843)
(0.031058,-0.949257,-0.312964)
(0.159784,0.70294,0.693069)
(0.0559393,-0.107909,0.992586)
(-0.210538,0.074642,0.974732)
(0.14558,0.0649656,0.987211)
(0.414842,-0.146245,0.898064)
(-0.109658,-0.0891455,0.989964)
(-0.345372,-0.242264,0.906657)
(-0.336321,-0.240695,0.910469)
(0.629405,0.243545,0.737926)
(0.523586,-0.210243,0.825624)
(0.598237,0.520811,0.608989)
(0.0977643,0.260155,0.960605)
(-0.484046,-0.309089,0.818635)
(-0.259143,0.597979,0.758463)
(-0.415481,0.342311,0.842733)
(-0.667327,-0.20874,0.714914)
(0.319238,-0.622641,0.714427)
(-0.000257216,-0.188007,0.982168)
(0.629275,-0.449904,0.633719)
(0.400665,-0.0532061,0.914679)
(0.0104727,0.0862217,0.996221)
(-0.376749,-0.111631,0.919564)
(0.0830713,-0.0735977,0.993822)
(-0.413439,0.338997,0.845073)
(0.201424,0.700978,0.684148)
(-0.334287,0.17124,0.926784)
(0.148048,0.472513,0.8688)
(-0.401479,-0.0574706,0.914063)
(-0.810101,-0.239066,0.535335)
(-0.0951392,-0.0783273,0.992378)
(0.0998734,0.271536,0.957232)
(-0.625798,0.190443,0.756379)
(-0.128011,0.400955,0.90711)
(0.351213,-0.780992,0.51643)
(-0.543842,0.548828,0.634842)
(0.128941,0.0138231,0.991556)
(0.0408466,-0.235469,0.971023)
(0.33787,-0.125872,0.932738)
(-0.589465,0.478648,0.650712)
(-0.362243,0.538872,0.760524)
(-0.325413,-0.0963862,0.940647)
(-0.869437,0.112769,0.481001)
(0.15035,0.827034,0.541672)
(0.402785,0.914626,-0.0349843)
(0.260433,0.477918,0.838909)
(-0.063557,-0.744759,0.6643)
